workload,seed,comparison,feature,ks,warning,outside_train_range_ratio
dedup_pressure,42,A_vs_C_total_shift,recent_frequency,0.0,none,0.0
dedup_pressure,42,A_vs_C_total_shift,selector_clean,0.22347407935722297,binary,
dedup_pressure,42,A_vs_C_total_shift,selector_g_delta,0.21978963748048863,large,0.0
dedup_pressure,42,A_vs_C_total_shift,selector_one_minus_g_a,0.006141542951117032,none,0.0
dedup_pressure,42,A_vs_C_total_shift,selector_one_minus_g_w,0.0025294259358854404,none,0.0
dedup_pressure,42,A_vs_C_total_shift,selector_r_lru,0.0,none,0.0
dedup_pressure,42,B_vs_C_policy_shift,B_t,0.0,none,0.0
dedup_pressure,42,B_vs_C_policy_shift,K_t,0.0,none,0.0
dedup_pressure,42,B_vs_C_policy_shift,decision_interval,0.0018448182618077125,none,0.0
dedup_pressure,42,B_vs_C_policy_shift,dirty_ratio,0.9272691312208072,large,0.9082053203446984
dedup_pressure,42,B_vs_C_policy_shift,dirty_state,0.06560043331527265,binary,
dedup_pressure,42,B_vs_C_policy_shift,normalized_residency,0.0,none,0.0
dedup_pressure,42,B_vs_C_policy_shift,original_r_lru,0.8395135417022539,large,0.6645279130760584
dedup_pressure,42,B_vs_C_policy_shift,recent_frequency,0.0,none,0.0
dedup_pressure,42,B_vs_C_policy_shift,selector_clean,0.22041872887528047,binary,
dedup_pressure,42,B_vs_C_policy_shift,selector_g_delta,0.2014634334299048,large,0.0
dedup_pressure,42,B_vs_C_policy_shift,selector_one_minus_g_a,0.0005571819034757564,none,0.0
dedup_pressure,42,B_vs_C_policy_shift,selector_one_minus_g_w,0.0002569143354594905,none,0.0
dedup_pressure,42,B_vs_C_policy_shift,selector_r_lru,0.0,none,0.0
dedup_pressure,2026,A_vs_B_split_drift,B_t,0.0,none,0.0
dedup_pressure,2026,A_vs_B_split_drift,K_t,0.0,none,0.0
dedup_pressure,2026,A_vs_B_split_drift,decision_interval,0.03242415250499231,none,0.0007538635506973238
dedup_pressure,2026,A_vs_B_split_drift,dirty_ratio,0.06744961837667496,none,0.00904295403165034
